location,longitude,latitude,bubbleSize,visitedDate,nPictures
Montreal,45.50,-73.60,3,2010,3
Japan,35.68,135.69,3,2012,8
Geneva,46.20,6.15,5,1987 -,4
London,51.50,0,2,2014,5
Seoul,37.56,126.978,3,2013,2
Hong Kong,22.267,114.118,2,2013,3
